id	title	price_pc	price_mobile	normal_price	link	mobile_link	image_link	add_image_link	category_name1	category_name2	category_name3	category_name4	naver_category	naver_product_id	condition	import_flag	parallel_import	order_made	product_flag	rental_info	adult	goods_type	barcode	manufacture_define_number	model_number	brand	maker	origin	card_event	event_words	benefit_price	partner_coupon_download	interest_free_event	point	installation_costs	pre_match_code	search_tag	group_id	vendor_id	coordi_id	minimum_purchase_quantity	review_count	shipping	delivery_grade	delivery_detail	attribute	option_detail	seller_id	age_group	gender	benefit_start_date	benefit_end_date	brand_certification
874	하리보 해피그레이프 1kg 버킷 (개별포장)	16480	16480		https://skmrkt.com/product/detail.html?product_no=874&cate_no=76&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=874&cate_no=76&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202312/7c366f3cd60b510efae3c309dd945867_dburl.png		전체상품	스낵	젤리				신상품											자체브랜드	자체제작				16480			16500			해피그레이프통|해피그레이프|하리보|젤리|하리보젤리|젤리추천|하리보통|haribo|하리보추천|간식|수입젤리|간식추천|과자|과자추천|포도젤리|하리보포도|하리보버킷|대용량젤리|하리보대용량|하리보소포장|소포장젤리				1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
878	하리보 피치 컵 175g	3880	3880		https://skmrkt.com/product/detail.html?product_no=878&cate_no=76&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=878&cate_no=76&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202312/84ff5a896ec2ac3b642fc4b5885e56e6_dburl.png		전체상품	스낵	젤리				신상품											자체브랜드	자체제작				3880			3900			하리보|하리보젤리|젤리|복숭아젤리|젤리추천|하리보복숭아젤리|피치젤리|피치맛젤리|피치젤리추천|과자|과자추천|간식|간식추천				1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
879	하리보 스타믹스 컵 175g	3880	3880		https://skmrkt.com/product/detail.html?product_no=879&cate_no=76&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=879&cate_no=76&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202312/5d542d91aa54ec790bc51244d8f18e30_dburl.png		전체상품	스낵	젤리				신상품											자체브랜드	자체제작				3880			3900			하리보|젤리|젤리추천|하리보젤리|스타믹스|스타믹스컵|컵젤리				1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
880	하리보 골드베렌 컵 175g	3880	3880		https://skmrkt.com/product/detail.html?product_no=880&cate_no=76&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=880&cate_no=76&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202312/15de4c38bd53b3d7110492918732e452_dburl.png		전체상품	스낵	젤리				신상품											자체브랜드	자체제작				3880			3900			하리보|하리보젤리|젤리|젤리추천|골드베렌|과자|간식|과자추천|간식추천				1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
897	하리보 피치스 100g	1880	1880		https://skmrkt.com/product/detail.html?product_no=897&cate_no=76&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=897&cate_no=76&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202312/aaef0daccd3e2541d0dcedf5597fda45_dburl.png		전체상품	스낵	젤리				신상품											자체브랜드	자체제작	기타국가			1880			1900							1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
907	하리보 프루티부시 100g (Pocket size)	1880	1880		https://skmrkt.com/product/detail.html?product_no=907&cate_no=76&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=907&cate_no=76&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202312/b362a190bcd53c4a1da0d4dea0f9f5e3_dburl.png		전체상품	스낵	젤리				신상품											자체브랜드	자체제작				1880			1900							1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
911	하리보 골드베어 사우어 80g	1880	1880		https://skmrkt.com/product/detail.html?product_no=911&cate_no=76&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=911&cate_no=76&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202312/7b6688b01a37743664da5dd1c3d7ea22_dburl.png		전체상품	스낵	젤리				신상품											자체브랜드	자체제작	기타국가			1880			1900							1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
914	하리보 해피콜라 사우어 80g (Pocket size)	1880	1880		https://skmrkt.com/product/detail.html?product_no=914&cate_no=76&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=914&cate_no=76&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202312/521ec0f78a06f0e87a7daf54c0c77ab7_dburl.png		전체상품	스낵	젤리				신상품											자체브랜드	자체제작				1880			1900							1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
949	니비시 사시미 간장소스 360ml	5280	5280		https://skmrkt.com/product/detail.html?product_no=949&cate_no=202&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=949&cate_no=202&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202212/0f1f5470bab5eee7d992f15c8cd95bf9_dburl.jpg		전체상품	소스/잼/오일	소스				신상품											자체브랜드	자체제작				5280			5300							1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
956	라구 어니언앤갈릭 청키소스 680g	6480	6480		https://skmrkt.com/product/detail.html?product_no=956&cate_no=202&display_group=1&cafe_mkt=naver_ks&mkt_in=Y&ghost_mall_id=naver&ref=naver_open	http://m.skmrkt.com/product/detail.html?product_no=956&cate_no=202&display_group=1&cafe_mkt=naver_ks	http://skmrkt.com/web/product/medium/202312/6fb892db3e15b749d86196ca855897e3_dburl.png		전체상품	소스/잼/오일	소스				신상품											자체브랜드	자체제작				6480			6500							1	0	3000	Y	제주지역 4000원/도서산간지역 4000원/								
